오스테오사우루스 두개골, 본드래곤 두개골
도시 평판,도시 명성
로스트 블랙문 머신 블레이드 장비 상자,분실된 흑월 예봉 장비함
로스트 블랙문 프리미엄 장비 상자,분실된 흑월 예봉 장비함
자작나무 돌,열화석
자작나무샘,베툴라 분비선
로스트우드리프,환각 산호초
나선형 가시꽃,소용돌이 꽃
고통의 낫,고통의 발톱
디지 쉘,어지럼 등껍질
기억상실 줄기 가시,기억 상실 가시
뇌 안개 포자,뇌안개 포자
깊이 잠든 가지들,심면 나뭇가지
깊이 잠자고 있는 뿌리,심면 뿌리
깊이 잠든 죽은 잎,심면 고엽
생명의 메달,수행 뱃지
자기관찰영화,자동 관측 필름
화재 통제 장치,사격 통제 유닛
전원 장치,동력 유닛
전력 파이프라인,동력 파이프라인
정밀부품,정밀 부품
깨진 부분,낡은 부품
소음 척수액,소음 수액
소음선 호르몬,소음 호르몬,
자작나무 알갱이,베툴라 핵
멍청한,이명 껍질
패럴랙스 가시 껍질,인식 방해 껍질
황혼의 껍질,트와일라잇 껍질
나이트햇,야행 삿갓
샤이닝 나이트 더블 블레이드,밤을 밝히는 양날검
노이즈 키나제,소음 효소
